NOM_SC;NOM_FR;COMMUNE;CODE_INSEE;DATE_OBS
Sturnus vulgaris Linnaeus, 1758;Étourneau sansonnet;CHATENAY MALABRY;92019;2006-02-06
Sylvia borin (Boddaert, 1783);Fauvette des jardins;CHATENAY MALABRY;92019;2006-02-06
Aegithalos caudatus (Linnaeus, 1758);Mésange à longue queue;CHATENAY MALABRY;92019;2006-07-06
Garrulus glandarius (Linnaeus, 1758);Geai des chênes;CHATENAY MALABRY;92019;2006-07-06
Phylloscopus collybita (Vieillot, 1887);Pouillot véloce;CHATENAY MALABRY;92019;2006-07-06
Certhia brachydactyla C.L. Brehm, 1820;Grimpereau des jardins;CHAVILLE;92022;2006-10-06
Dendrocopos major (Linnaeus, 1758);Pic épeiche;CHAVILLE;92022;2006-10-06
Erithacus rubecula (Linnaeus, 1758);Rougegorge familier;MEUDON;92048;2006-10-06
Parus major Linnaeus, 1758;Mésange charbonnière;MEUDON;92048;2006-10-06
Phylloscopus collybita (Vieillot, 1887);Pouillot véloce;MEUDON;92048;2006-10-06
Prunella modularis (Linnaeus, 1758);Accenteur mouchet;CHAVILLE;92022;2006-10-06
Sitta europaea Linnaeus, 1758;Sittelle torchepot;CHAVILLE;92022;2006-10-06
Sylvia borin (Boddaert, 1783);Fauvette des jardins;MEUDON;92048;2006-10-06
Certhia brachydactyla C.L. Brehm, 1820;Grimpereau des jardins;CLAMART;92023;2006-12-06
Dendrocopos major (Linnaeus, 1758);Pic épeiche;CHATENAY MALABRY;92019;2006-12-06
Falco tinnunculus Linnaeus, 1758;Faucon crécerelle;CLAMART;92023;2006-12-06
Garrulus glandarius (Linnaeus, 1758);Geai des chênes;CLAMART;92023;2006-12-06
Parus ater Linnaeus, 1758;Mésange noire;CHATENAY MALABRY;92019;2006-12-06
Turdus merula Linnaeus, 1758;Merle noir;CLAMART;92023;2006-12-06
Turdus philomelos C. L. Brehm, 1831;Grive musicienne;CHATENAY MALABRY;92019;2006-12-06
Corvus corone Linnaeus, 1758;Corneille noire;CHATENAY MALABRY;92019;2006-06-13
Parus cristatus Linnaeus, 1758;Mésange huppée;GARCHES;92033;2006-06-13
